system:index,Date,Latitude,Longitude,LST_Celsius,NDVI,Air_Temperature_C,Dew_Point_Temperature_C,Relative_Humidity_%,WindDirection,WindSpeed,Rainfall_mm,impervious_percentage,Cluster,UHI_Label
20250331_213,2025-03-31,19.31997297297299,73.40576470588233,32.239151255289755,0.3538,32.239151255289755,15.16481997172042,35.70017165778102,67.94732393716599,1.0321741401190676,0.0013142823149792,0.3538503030097512,1,High UHI
20250331_214,2025-03-31,19.31997297297299,73.45478431372547,32.810684458414755,0.3477,32.810684458414755,14.52663637797042,33.173056461079746,76.66740174807994,0.8933969926830665,0.0027298926283947,0.1414205922954484,1,High UHI
20250331_215,2025-03-31,19.31997297297299,73.5038039215686,32.810684458414755,0.3021,32.810684458414755,14.52663637797042,33.173056461079746,76.66740174807994,0.8933969926830665,0.0027298926283947,0.1935604874432732,1,High UHI
20250331_216,2025-03-31,19.31997297297299,73.55282352941174,32.930964406331384,0.2513,32.810684458414755,14.52663637797042,33.173056461079746,76.66740174807994,0.8933969926830665,0.0027298926283947,0.2696185511474609,1,High UHI
20250331_217,2025-03-31,19.31997297297299,73.60184313725487,32.930964406331384,0.3002,32.930964406331384,12.375187810262048,28.63856203249818,92.88892751806053,0.7813828338976015,0.0038325785567394,0.6223626886133533,1,High UHI
20250331_218,2025-03-31,19.31997297297299,73.65086274509801,31.689346567789755,0.3685,32.930964406331384,12.375187810262048,28.63856203249818,92.88892751806053,0.7813828338976015,0.0038325785567394,0.2075111044887168,1,High UHI
20250331_219,2025-03-31,19.31997297297299,73.69988235294115,31.689346567789755,0.417,31.689346567789755,10.610702133178734,27.336396848582527,103.94580223498014,0.6938888260680481,0.0038325785567394,0.1516930146789551,1,High UHI
20250331_220,2025-03-31,19.36501801801804,72.76850980392157,30.955622609456384,-999.0,30.955622609456384,15.768905258178734,39.920362055038886,147.19764146719098,2.269126718913577,0.0012844799925915,1.1475090272028905,1,High UHI
20250331_221,2025-03-31,19.36501801801804,72.81752941176471,30.955622609456384,0.3104,30.955622609456384,15.768905258178734,39.920362055038886,147.19764146719098,2.269126718913577,0.0012844799925915,14.106130719007542,1,High UHI
20250331_222,2025-03-31,19.36501801801804,72.86654901960785,30.955622609456384,0.3386,31.311335500081384,14.32912661234542,35.656173255246,135.37886595897135,1.690383632326154,0.0012844799925915,3.989582345167931,1,High UHI
20250331_223,2025-03-31,19.36501801801804,72.91556862745098,31.311335500081384,0.2653,31.311335500081384,14.32912661234542,35.656173255246,135.37886595897135,1.690383632326154,0.0012844799925915,7.7247135710263715,1,High UHI
20250331_224,2025-03-31,19.36501801801804,72.96458823529412,31.65891036987307,0.4267,31.65891036987307,13.870956039428734,33.934670071168874,120.84114606840308,1.3349218336334243,0.0012844799925915,0.0465527734069824,1,High UHI
